date,r_sim_MCM,r_obs_MCM
1995-10-01,3.523392,0.384
1995-10-02,3.4124544,0.695
1995-10-03,3.3045408,1.497
1995-10-04,3.200256,2.322
1995-10-05,3.1001184,2.618
1995-10-06,3.0035231999999996,2.642
1995-10-07,2.9089151999999996,2.618
1995-10-08,4.563129599999999,2.569
1995-10-09,4.345488,2.642
1995-10-10,4.144867199999999,2.96
1995-10-11,3.9668831999999994,3.229
1995-10-12,3.8447999999999998,3.132
1995-10-13,3.7344671999999997,3.058
1995-10-14,3.5885376,3.181
1995-10-15,8.1402624,3.205
1995-10-16,6.868454399999999,3.083
1995-10-17,5.7985632,2.985
1995-10-18,4.912012799999999,2.887
1995-10-19,4.1878079999999995,3.205
1995-10-20,3.5788607999999997,2.862
1995-10-21,3.0630527999999995,2.131
1995-10-22,71.99668799999999,1.28
1995-10-23,0,0.095
1995-10-24,0,0.095
1995-10-25,0,0.095
1995-10-26,0,0.095
1995-10-27,0,0.374
1995-10-28,0,1.05
1995-10-29,0.14454720000000001,1.045
1995-10-30,0.167616,1.556
1995-10-31,0.18334079999999997,2.028
1995-11-01,0.19560959999999997,2.014
1995-11-02,0.20597759999999996,1.984
1995-11-03,0.21539519999999998,1.96
1995-11-04,0.2243808,2.023
1995-11-05,0.4802976,2.043
1995-11-06,0.47096639999999995,2.021
1995-11-07,0.4769279999999999,2.001
1995-11-08,0.5212512,1.994
1995-11-09,0.6213888,1.962
1995-11-10,0.7240320000000001,1.935
1995-11-11,0.7816608,1.928
1995-11-12,1.0876896,2.241
1995-11-13,1.1231136,2.593
1995-11-14,1.1315808,2.055
1995-11-15,1.1255328,1.125
1995-11-16,1.1161151999999999,1.106
1995-11-17,1.1085983999999998,1.072
1995-11-18,1.1009088,0.92
1995-11-19,1.0105344,0.382
1995-11-20,0.9835775999999999,0.267
1995-11-21,0.9497088,0.267
1995-11-22,0.9141119999999999,0.267
1995-11-23,0.8836128,0.298
1995-11-24,0.8716031999999999,0.639
1995-11-25,0.9063359999999999,1.118
1995-11-26,1.005696,1.302
1995-11-27,1.1346912,0.966
1995-11-28,1.372896,2.124
1995-11-29,1.5596927999999999,2.136
1995-11-30,1.6962048,2.195
1995-12-01,1.8766079999999998,2.278
1995-12-02,1.9956671999999998,2.327
1995-12-03,1.9793375999999998,2.351
1995-12-04,1.9625759999999999,2.393
1995-12-05,1.9451232,2.52
1995-12-06,1.9551456,3.89
1995-12-07,1.9627487999999997,4.551
1995-12-08,1.9424447999999999,4.257
1995-12-09,2.020032,3.89
1995-12-10,2.0288448,3.572
1995-12-11,2.1765024,3.645
1995-12-12,2.4465024,2.312
1995-12-13,2.7646272,1.289
1995-12-14,2.9732831999999996,2.373
1995-12-15,3.124656,3.303
1995-12-16,3.1402943999999997,8.098
1995-12-17,4.844534399999999,9.321
1995-12-18,4.4162495999999996,8.71
1995-12-19,4.0536288,8.367
1995-12-20,3.7139903999999997,7.78
1995-12-21,3.381696,7.829
1995-12-22,3.0671136,5.676
1995-12-23,2.7796608,3.915
1995-12-24,2.1207743999999997,3.866
1995-12-25,2.0514816,4.11
1995-12-26,1.9850400000000001,2.862
1995-12-27,1.9222272,1.852
1995-12-28,1.8717696,1.84
1995-12-29,1.877904,2.297
1995-12-30,1.9529855999999999,2.74
1995-12-31,2.2391424,3.327
1996-01-01,2.2032863999999996,3.988
1996-01-02,2.13192,4.771
1996-01-03,2.0539872,4.282
1996-01-04,2.0017152,2.838
1996-01-05,1.9784736,2.126
1996-01-06,1.9423584,1.93
1996-01-07,1.6995744,2.031
1996-01-08,1.7101152,2.307
1996-01-09,1.7845056,2.814
1996-01-10,1.8549216,2.862
1996-01-11,1.8697823999999998,2.96
1996-01-12,1.829088,2.814
1996-01-13,1.7692992,2.082
1996-01-14,1.8811007999999998,1.901
1996-01-15,1.9039967999999998,2.569
1996-01-16,2.022624,3.303
1996-01-17,2.1315744,3.694
1996-01-18,2.1800447999999997,4.33
1996-01-19,2.2654943999999997,4.869
1996-01-20,2.4138431999999996,4.551
1996-01-21,2.6462592000000003,3.645
1996-01-22,2.936736,5.627
1996-01-23,3.0714335999999998,6.092
1996-01-24,3.2355072000000002,5.431
1996-01-25,3.4217855999999998,5.309
1996-01-26,3.4758719999999994,6.581
1996-01-27,3.4597151999999998,7.022
1996-01-28,3.7052639999999997,7.487
1996-01-29,3.8297663999999996,7.927
1996-01-30,3.8189664,8.049
1996-01-31,3.7063872,8.367
1996-02-01,3.5371296,9.003
1996-02-02,3.3594912,8.539
1996-02-03,3.1892831999999998,8.049
1996-02-04,1.8814463999999997,7.927
1996-02-05,1.9127232,8.661
1996-02-06,2.336256,7.56
1996-02-07,3.217104,0.915
1996-02-08,4.015008,0.157
1996-02-09,4.5715968,2.862
1996-02-10,4.755628799999999,9.517
1996-02-11,4.4182368,9.15
1996-02-12,4.3171488,9.028
1996-02-13,4.2018048,9.077
1996-02-14,4.0862016,9.199
1996-02-15,3.9724992,9.15
1996-02-16,3.8690784,9.077
1996-02-17,3.851712,9.077
1996-02-18,3.4732800000000004,7.095
1996-02-19,3.9396671999999997,8.025
1996-02-20,4.2926975999999994,9.175
1996-02-21,4.51656,9.052
1996-02-22,4.632940799999999,8.906
1996-02-23,4.7690208,8.318
1996-02-24,4.942944,8.269
1996-02-25,4.107801599999999,9.052
1996-02-26,4.1134176,8.93
1996-02-27,4.0615776,7.829
1996-02-29,4.0170816,4.869
1996-03-01,3.9838176,2.41
1996-03-02,3.9259296,2.199
1996-03-03,3.8497248,2.199
1996-03-04,3.1681151999999995,2.199
1996-03-05,3.3361632,2.195
1996-03-06,3.4381151999999995,1.96
1996-03-07,3.4069248,1.118
1996-03-08,3.3270912,0.536
1996-03-09,3.2363712,0.536
1996-03-10,3.1516127999999997,0.308
1996-03-11,1.1663999999999999,0.093
1996-03-12,1.52928,0.093
1996-03-13,1.7773344,0.095
1996-03-14,1.912032,0.103
1996-03-15,1.9894463999999998,0.103
1996-03-16,2.0346336,0.105
1996-03-17,2.0575296,0.105
1996-03-18,1.1162016000000001,0.105
1996-03-19,1.2069215999999998,0.105
1996-03-20,1.2816575999999997,0.11
1996-03-21,1.3423968,0.11
1996-03-22,1.3926816,0.11
1996-03-23,1.4380415999999998,0.11
1996-03-24,1.4783904,0.11
1996-03-25,0.5137343999999999,0.11
1996-03-26,0.5139072,0.11
1996-03-27,0.51408,0.11
1996-03-28,0.5142528,0.11
1996-03-29,0.5144255999999999,0.11
1996-03-30,0.6046272,0.11
1996-03-31,0.7010496,0.11
1996-04-01,0.243216,0.11
1996-04-02,0.2435616,0.11
1996-04-03,0.4290624,0.11
1996-04-04,0.5695487999999999,0.113
1996-04-05,0.6713279999999999,0.113
1996-04-06,0.7505567999999999,0.113
1996-04-07,0.8136287999999999,0.113
1996-04-08,0.2482272,0.113
