date,r_sim_MCM,r_obs_MCM
1995-10-01,3.645216,3.768
1995-10-02,3.5960544000000003,3.768
1995-10-03,3.5542367999999995,3.792
1995-10-04,3.5252927999999994,3.817
1995-10-05,3.4938432,3.841
1995-10-06,3.4523711999999995,2.838
1995-10-07,3.4047647999999997,3.817
1995-10-08,3.4191935999999994,3.792
1995-10-09,3.3857568,3.841
1995-10-10,3.3528383999999996,2.354
1995-10-11,3.3257087999999997,1.38
1995-10-12,3.3275231999999995,1.732
1995-10-13,3.3302015999999997,3.817
1995-10-14,3.313008,3.792
1995-10-15,4.2095807999999995,3.792
1995-10-16,3.9650688,3.841
1995-10-17,3.7343808000000003,3.499
1995-10-18,3.5425728000000003,2.96
1995-10-19,3.4026912,2.911
1995-10-20,3.2679072000000002,2.862
1995-10-21,3.1967136,2.642
1995-10-22,5.161881599999999,2.447
1995-10-23,4.3423776,2.403
1995-10-24,3.6762335999999998,1.81
1995-10-25,3.3943103999999997,1.828
1995-10-26,3.3751295999999997,1.81
1995-10-27,3.3767711999999994,1.825
1995-10-28,3.3555168,3.352
1995-10-29,4.219084799999999,4.11
1995-10-30,3.9584159999999997,3.743
1995-10-31,3.7211616,2.006
1995-11-01,3.6548928,2.055
1995-11-02,3.5950176,2.028
1995-11-03,3.5374751999999994,2.07
1995-11-04,3.4805376,3.719
1995-11-05,4.7375712,4.208
1995-11-06,4.5427392,3.939
1995-11-07,4.3685567999999995,2.07
1995-11-08,4.224095999999999,2.082
1995-11-09,4.241808,2.173
1995-11-10,4.2909696,2.985
1995-11-11,4.2903648,3.009
1995-11-12,4.638383999999999,4.33
1995-11-13,4.875638399999999,4.306
1995-11-14,4.9119264000000005,4.306
1995-11-15,4.8380544,3.621
1995-11-16,4.7370528,2.439
1995-11-17,4.6378656000000005,3.156
1995-11-18,4.5687456,3.352
1995-11-19,6.8356224,2.471
1995-11-20,6.585407999999999,3.425
1995-11-21,6.3198144,4.355
1995-11-22,6.0577632,5.211
1995-11-23,5.8430592,8.808
1995-11-24,5.7337632,8.71
1995-11-25,5.884704,8.857
1995-11-26,7.147180799999999,8.954
1995-11-27,7.306934399999999,10.178
1995-11-28,7.3636128,11.279
1995-11-29,7.335964799999999,11.132
1995-11-30,7.5916224,9.786
1995-12-01,8.0340768,7.413
1995-12-02,8.1290304,7.535
1995-12-03,7.3047744,7.535
1995-12-04,7.177247999999999,7.487
1995-12-05,7.171372799999999,7.462
1995-12-06,7.176124799999999,7.462
1995-12-07,7.0824672,7.438
1995-12-08,6.9582239999999995,7.413
1995-12-09,6.876662399999999,6.116
1995-12-10,6.4967616,4.379
1995-12-11,6.5753856,9.737
1995-12-12,7.0257024,8.783
1995-12-13,7.5508416,8.783
1995-12-14,7.703596800000001,9.884
1995-12-15,7.7162112,9.958
1995-12-16,7.638624,11.328
1995-12-17,10.726041599999999,14.777
1995-12-18,10.1669472,17.053
1995-12-19,9.646128,16.783
1995-12-20,9.1632384,16.612
1995-12-21,8.7146496,16.319
1995-12-22,8.3085696,13.676
1995-12-23,7.956403199999999,10.961
1995-12-24,5.1622272,9.811
1995-12-25,5.1126336,4.453
1995-12-26,5.0506848,4.33
1995-12-27,4.9855392,4.086
1995-12-28,4.9241952,4.061
1995-12-29,4.9196159999999995,4.086
1995-12-30,5.0499936,4.159
1995-12-31,6.1693055999999995,4.208
1996-01-01,6.2707391999999995,3.89
1996-01-02,6.2210592,3.939
1996-01-03,6.1360416,7.853
1996-01-04,6.047913599999999,8.367
1996-01-05,5.9508,8.636
1996-01-06,5.852908800000001,8.49
1996-01-07,5.692031999999999,8.367
1996-01-08,5.733504,8.343
1996-01-09,5.893343999999999,8.294
1996-01-10,6.054825599999999,8.22
1996-01-11,6.061824,8.367
1996-01-12,5.9811264,6.948
1996-01-13,5.892566399999999,3.743
1996-01-14,5.1699168,6.116
1996-01-15,5.1726816,9.713
1996-01-16,5.223225599999999,8.71
1996-01-17,5.2689312,6.043
1996-01-18,5.2680672,7.046
1996-01-19,5.2757568,6.41
1996-01-20,5.3444448,6.312
1996-01-21,6.986736,7.462
1996-01-22,6.892732799999999,8.636
1996-01-23,6.7218336,8.123
1996-01-24,6.5709792,7.315
1996-01-25,6.414854399999999,7.217
1996-01-26,6.2485344,5.725
1996-01-27,6.0912,4.086
1996-01-28,4.1595552,4.11
1996-01-29,4.1547168,4.086
1996-01-30,4.1451264,3.866
1996-01-31,4.1472,3.181
1996-02-01,4.1539392,1.585
1996-02-02,4.177353599999999,0.734
1996-02-03,4.179340799999999,0.741
1996-02-04,2.3912063999999997,0.749
1996-02-05,2.4439103999999996,0.773
1996-02-06,2.5432704,0.817
1996-02-07,2.7520127999999997,0.827
1996-02-08,3.0132863999999997,0.812
1996-02-09,3.4041599999999996,0.952
1996-02-10,3.696192,3.132
1996-02-11,1.7809632,7.633
1996-02-12,1.8509471999999998,12.282
1996-02-13,1.9170432,13.53
1996-02-14,2.2526208,14.582
1996-02-15,2.8346975999999997,14.655
1996-02-16,3.3219935999999994,14.484
1996-02-17,3.8346047999999997,14.557
1996-02-18,5.9234112,11.841
1996-02-19,7.0205184,11.059
1996-02-20,7.6006944,12.257
1996-02-21,7.96392,12.208
1996-02-22,8.160307199999998,11.034
1996-02-23,8.1330048,7.707
1996-02-24,8.047036799999999,4.893
1996-02-25,5.171990399999999,4.918
1996-02-26,5.4065664,4.282
1996-02-27,5.5703808,3.67
1996-02-29,5.672505599999999,2.642
1996-03-01,5.7358367999999995,1.341
1996-03-02,5.788195199999999,0.766
1996-03-03,5.8445279999999995,0.783
1996-03-04,3.6948096,0.785
1996-03-05,4.0308192,1.236
1996-03-06,4.290192,1.947
1996-03-07,4.4482176,1.947
1996-03-08,4.6063296,1.933
1996-03-09,4.8274272,1.889
1996-03-10,5.1367392,1.903
1996-03-11,4.853260799999999,2.936
1996-03-12,5.5420416,3.939
1996-03-13,5.9668704,4.208
1996-03-14,6.0848064,4.257
1996-03-15,6.1245503999999995,3.425
1996-03-16,6.194361600000001,1.908
1996-03-17,6.2642592,1.916
1996-03-18,3.4327584000000004,1.918
1996-03-19,3.6378719999999993,1.918
1996-03-20,3.8630303999999995,1.886
1996-03-21,4.079376,1.519
1996-03-22,4.2418944,1.206
1996-03-23,4.369593599999999,1.216
1996-03-24,4.457289599999999,1.211
1996-03-25,4.533408,0.966
1996-03-26,4.660848,0.758
1996-03-27,4.7508767999999995,0.761
1996-03-28,4.898534399999999,0.771
1996-03-29,4.999968,0.78
1996-03-30,5.0328,0.788
1996-03-31,5.084639999999999,0.815
1996-04-01,5.2856928,0.81
1996-04-02,6.8325119999999995,0.807
