date,r_sim_MCM,r_obs_MCM
1995-10-01,246.93310079999998,126.488
1995-10-02,248.55767999999995,234.137
1995-10-03,242.50639679999998,200.864
1995-10-04,237.1978944,165.633
1995-10-05,236.37934079999997,168.813
1995-10-06,231.10548479999997,184.716
1995-10-07,224.5154976,178.844
1995-10-08,220.8434112,162.697
1995-10-09,219.126384,192.301
1995-10-10,218.75063039999998,201.353
1995-10-11,220.10063039999997,266.432
1995-10-12,223.7351328,275.484
1995-10-13,227.4671808,204.289
1995-10-14,227.66512319999998,139.944
1995-10-15,225.83854079999998,139.455
1995-10-16,223.74817919999998,222.883
1995-10-17,222.34400639999998,217.5
1995-10-18,223.80580799999996,158.293
1995-10-19,228.0634272,192.79
1995-10-20,229.240368,207.469
1995-10-21,227.93987520000002,176.887
1995-10-22,226.9331424,211.139
1995-10-23,226.03199039999996,221.904
1995-10-24,225.40032000000002,205.512
1995-10-25,225.0713088,235.36
1995-10-26,225.41846400000003,193.034
1995-10-27,226.55695679999997,179.089
1995-10-28,227.28228479999999,161.963
1995-10-29,226.9463616,216.766
1995-10-30,226.14940799999997,239.764
1995-10-31,225.4527648,212.607
1995-11-01,225.0222336,214.075
1995-11-02,224.4416256,216.032
1995-11-03,218.3577696,204.533
1995-11-04,222.46064639999997,180.802
1995-11-05,227.92095360000002,160.006
1995-11-06,228.7216224,237.317
1995-11-07,228.8375712,200.374
1995-11-08,228.6902592,193.768
1995-11-09,227.1377376,197.928
1995-11-10,225.06119999999999,198.172
1995-11-11,223.7957856,146.305
1995-11-12,223.21975679999997,142.88
1995-11-13,222.6690432,204.044
1995-11-14,222.29562239999998,180.312
1995-11-15,221.4728352,220.436
1995-11-16,218.82527999999996,221.415
1995-11-17,217.3067136,229.244
1995-11-18,217.829952,184.961
1995-11-19,219.35275199999998,222.393
1995-11-20,224.99130239999997,293.589
1995-11-21,242.23648319999998,278.175
1995-11-22,251.06103359999997,244.168
1995-11-23,252.261216,187.407
1995-11-24,270.8701344,246.859
1995-11-25,313.39189439999996,288.451
1995-11-26,334.2022848,264.474
1995-11-27,334.83792959999994,300.684
1995-11-28,330.5981088,280.866
1995-11-29,327.09121919999995,331.51
1995-11-30,323.11820159999996,271.08
1995-12-01,309.8119968,227.776
1995-12-02,288.9400032,287.472
1995-12-03,270.11257919999997,319.278
1995-12-04,258.86260799999997,295.057
1995-12-05,268.6423104,335.914
1995-12-06,273.9883104,360.38
1995-12-07,267.95292479999995,373.102
1995-12-08,263.13906239999994,413.471
1995-12-09,265.4398944,391.696
1995-12-10,268.0967808,355.731
1995-12-11,267.16607999999997,359.401
1995-12-12,266.2413408,337.872
1995-12-13,269.6404032,414.449
1995-12-14,275.5332288,343.743
1995-12-15,280.280736,382.644
1995-12-16,282.79177919999995,333.957
1995-12-17,280.4893056,355.242
1995-12-18,274.5588096,349.126
1995-12-19,267.8591808,387.537
1995-12-20,261.94881599999997,386.803
1995-12-21,257.2169472,388.76
1995-12-22,254.535696,391.941
1995-12-23,257.1384096,403.195
1995-12-24,258.8372928,394.877
1995-12-25,256.8514752,371.145
1995-12-26,253.9496448,383.133
1995-12-27,252.71110079999997,340.318
1995-12-28,256.15802879999995,300.928
1995-12-29,256.4894592,292.365
1995-12-30,247.8276,246.859
1995-12-31,236.7932832,212.362
1996-01-01,229.02073919999998,225.085
1996-01-02,224.98611839999995,298.482
1996-01-03,222.7822272,284.047
1996-01-04,218.2863168,314.384
1996-01-05,212.4940608,356.221
1996-01-06,206.62439039999995,331.021
1996-01-07,211.5446112,257.624
1996-01-08,211.54279679999996,332.489
1996-01-09,211.5402048,369.677
1996-01-10,211.53718080000002,361.114
1996-01-11,211.533984,371.879
1996-01-12,211.53078720000002,403.195
1996-01-13,211.52776319999998,381.42
1996-01-14,118.6348896,355.731
1996-01-15,133.89045119999997,421.055
1996-01-16,202.69872,369.677
1996-01-17,205.68479039999997,360.38
1996-01-18,208.7950176,443.319
1996-01-19,210.5685504,419.832
1996-01-20,208.54082879999999,428.15
1996-01-21,206.24794559999998,377.751
1996-01-22,206.1811584,450.658
1996-01-23,206.1708768,444.053
1996-01-24,206.144352,423.746
1996-01-25,206.106768,428.639
1996-01-26,206.08240320000002,436.468
1996-01-27,206.0803296,400.014
1996-01-28,184.34338559999998,340.073
1996-01-29,202.92750719999998,434.511
1996-01-30,200.8236672,447.723
1996-01-31,198.5620608,481.975
1996-02-01,193.18668479999997,471.21
1996-02-02,186.853824,470.965
1996-02-03,183.80779200000003,407.599
1996-02-04,225.35841599999998,324.171
1996-02-05,225.3378528,331.021
1996-02-06,225.31728959999998,345.701
1996-02-07,225.2968992,252.975
1996-02-08,225.2772864,123.307
1996-02-09,225.2604384,133.827
1996-02-10,225.2468736,138.965
1996-02-11,208.54739519999998,284.292
1996-02-12,208.5431616,387.048
1996-02-13,208.540224,424.969
1996-02-14,208.5326208,451.637
1996-02-15,208.5176736,503.504
1996-02-16,208.4982336,545.096
1996-02-17,208.48544639999997,503.994
1996-02-18,207.4634208,450.414
1996-02-19,207.4633344,420.81
1996-02-20,207.463248,419.342
1996-02-21,207.4634208,445.765
1996-02-22,207.4640256,434.266
1996-02-23,207.46497599999998,517.205
1996-02-24,207.46566719999998,546.075
1996-02-25,195.13811520000002,509.621
1996-02-26,195.25492799999998,538.735
1996-02-27,195.32223359999998,551.213
1996-02-29,195.349968,486.134
1996-03-01,195.3589536,449.925
1996-03-02,195.347376,385.58
1996-03-03,195.0974208,376.038
1996-03-04,196.19331839999998,425.459
1996-03-05,196.5275136,460.445
1996-03-06,197.0159328,428.15
1996-03-07,197.52050880000002,435.245
1996-03-08,198.0220608,407.354
1996-03-09,198.5174784,402.706
1996-03-10,199.3333536,350.838
1996-03-11,164.47104,425.459
1996-03-12,229.10765759999998,421.3
1996-03-13,236.50747199999998,447.967
1996-03-14,239.2451424,434.266
1996-03-15,242.7178176,418.853
1996-03-16,246.00412799999998,429.129
1996-03-17,246.903552,324.171
1996-03-18,246.65472000000003,379.953
1996-03-19,246.6224928,400.504
1996-03-20,246.74414399999998,346.924
1996-03-21,247.24336319999998,375.549
1996-03-22,248.15229119999998,372.368
1996-03-23,249.3126432,354.998
1996-03-24,250.43472000000003,352.062
1996-03-25,250.13335679999997,373.591
1996-03-26,248.08844159999998,365.028
1996-03-27,245.7588384,394.143
1996-03-28,244.03852799999999,322.213
1996-03-29,242.3149344,264.964
1996-03-30,240.19536960000002,287.227
1996-03-31,238.1265216,289.185
1996-04-01,237.0498912,313.895
1996-04-02,240.15104639999996,298.726
1996-04-03,253.7094528,339.339
1996-04-04,278.37863999999996,324.66
1996-04-05,288.8389152,304.512
1996-04-06,291.6844128,328.501
1996-04-07,294.4816992,341.617
1996-04-08,300.27784319999995,360.752
1996-04-09,308.42562239999995,313.286
1996-04-10,317.09378879999997,306.973
