date,r_sim_MCM,r_obs_MCM
1995-10-01,2.8585439999999998,3.239
1995-10-02,2.8363392,3.068
1995-10-03,2.8224288,2.963
1995-10-04,2.8024704,2.936
1995-10-05,2.7716256,2.911
1995-10-06,2.7379296,2.872
1995-10-07,2.70432,2.848
1995-10-08,2.0531232,2.821
1995-10-09,2.0411135999999996,2.782
1995-10-10,2.040768,2.772
1995-10-11,2.055456,2.623
1995-10-12,2.0549375999999997,2.192
1995-10-13,2.044656,1.823
1995-10-14,2.0321279999999997,1.664
1995-10-15,0.2294784,1.651
1995-10-16,0.22956479999999999,1.064
1995-10-17,0.229824,0.259
1995-10-18,0.22999679999999997,0.02
1995-10-19,0.2301696,0.017
1995-10-20,0.230256,0.02
1995-10-21,0.2304288,0.02
1995-10-22,0.18100800000000003,0.017
1995-10-23,0.18144,0.017
1995-10-24,0.1816992,0.017
1995-10-25,0.1820448,0.02
1995-10-26,0.1825632,0.02
1995-10-27,0.183168,0.02
1995-10-28,0.18359999999999999,0.02
1995-10-29,0.35078399999999993,0.02
1995-10-30,0.35631359999999995,0.02
1995-10-31,0.36132480000000006,0.02
1995-11-01,0.36564480000000005,0.02
1995-11-02,0.37005119999999997,0.02
1995-11-03,0.3741984,0.02
1995-11-04,0.378,0.02
1995-11-05,0.1479168,0.02
1995-11-06,0.150336,0.022
1995-11-07,0.15353279999999997,0.022
1995-11-08,0.158544,0.034
1995-11-09,0.16606079999999998,0.034
1995-11-10,0.17072639999999997,0.029
1995-11-11,0.174528,0.049
1995-11-12,0.333936,0.034
1995-11-13,0.364608,0.037
1995-11-14,0.39493439999999996,0.034
1995-11-15,0.4256928,0.029
1995-11-16,0.45636479999999996,0.027
1995-11-17,0.4789152,0.024
1995-11-18,0.49723199999999995,0.024
1995-11-19,0.2883168,0.022
1995-11-20,0.2895264,0.02
1995-11-21,0.2904768,0.02
1995-11-22,0.29151360000000004,0.017
1995-11-23,0.29324160000000005,0.02
1995-11-24,0.2960928,0.024
1995-11-25,0.2994624,0.032
1995-11-26,0.214272,0.029
1995-11-27,0.21608639999999998,0.032
1995-11-28,0.21876479999999998,0.081
1995-11-29,0.2248992,0.113
1995-11-30,0.2339712,0.064
1995-12-01,0.23941439999999997,0.049
1995-12-02,0.2420064,0.037
1995-12-03,0.47701439999999995,0.029
1995-12-04,0.495072,0.027
1995-12-05,0.5120928,0.022
1995-12-06,0.5281632,0.022
1995-12-07,0.5433695999999999,0.02
1995-12-08,0.5576255999999999,0.017
1995-12-09,0.5708448,0.017
1995-12-10,0.13331519999999997,0.017
1995-12-11,0.13357439999999998,0.017
1995-12-12,0.13391999999999998,0.02
1995-12-13,0.1340928,0.022
1995-12-14,0.134352,0.022
1995-12-15,0.13461120000000001,0.02
1995-12-16,0.134784,0.017
1995-12-17,0.5621184,0.017
1995-12-18,0.5681664,0.017
1995-12-19,0.5736095999999999,0.017
1995-12-20,0.5785344,0.017
1995-12-21,0.5828544,0.017
1995-12-22,0.586656,0.017
1995-12-23,0.5900255999999999,0.017
1995-12-24,0.13037759999999998,0.017
1995-12-25,0.13089599999999998,0.017
1995-12-26,0.131328,0.017
1995-12-27,0.13184639999999997,0.015
1995-12-28,0.1322784,0.015
1995-12-29,0.13271039999999998,0.015
1995-12-30,0.1332288,0.017
1995-12-31,0.0929664,0.022
1996-01-01,0.0930528,0.022
1996-01-02,0.0931392,0.022
1996-01-03,0.09322559999999999,0.034
1996-01-04,0.09331199999999999,0.027
1996-01-05,0.09339839999999999,0.024
1996-01-06,0.09339839999999999,0.022
1996-01-07,0.517104,0.029
1996-01-08,0.5172768,0.029
1996-01-09,0.5172768,0.024
1996-01-10,0.5170176,0.024
1996-01-11,0.516672,0.022
