date,r_sim_MCM,r_obs_MCM
1995-10-01,0.4732991999999999,0.127
1995-10-02,0.4745952,0.127
1995-10-03,0.47952,0.127
1995-10-04,0.48522239999999994,0.127
1995-10-05,0.4871232,0.125
1995-10-06,0.48677760000000003,0.125
1995-10-07,0.4857408,0.125
1995-10-08,0.3627072,0.125
1995-10-09,0.36288,0.125
1995-10-10,0.3651264,0.125
1995-10-11,0.37039679999999997,0.122
1995-10-12,0.37359359999999997,0.122
1995-10-13,0.374544,0.122
1995-10-14,0.3748032,0.122
1995-10-15,0.1845504,0.122
1995-10-16,0.18472319999999998,0.122
1995-10-17,0.1849824,0.122
1995-10-18,0.18541439999999998,0.12
1995-10-19,0.1856736,0.12
1995-10-20,0.1859328,0.12
1995-10-21,0.1861056,0.12
1995-10-22,0.3060288,0.12
1995-10-23,0.30663359999999995,0.12
1995-10-24,0.30706559999999994,0.117
1995-10-25,0.30758399999999997,0.117
1995-10-26,0.3085344,0.117
1995-10-27,0.30948479999999995,0.117
1995-10-28,0.310176,0.117
1995-10-29,0.3085344,0.117
1995-10-30,0.30888,0.117
1995-10-31,0.309312,0.115
1995-11-01,0.30948479999999995,0.115
1995-11-02,0.3100032,0.115
1995-11-03,0.3104352,0.115
1995-11-04,0.3109536,0.115
1995-11-05,0.2452032,0.115
1995-11-06,0.2452896,0.113
1995-11-07,0.2455488,0.113
1995-11-08,0.2456352,0.113
1995-11-09,0.24589439999999999,0.113
1995-11-10,0.24606719999999996,0.113
1995-11-11,0.24624,0.113
1995-11-12,0.45930239999999994,0.113
1995-11-13,0.471744,0.11
1995-11-14,0.48729599999999995,0.11
1995-11-15,0.5013792,0.11
1995-11-16,0.5138208,0.11
1995-11-17,0.5239296,0.11
1995-11-18,0.5355936,0.11
1995-11-19,0.2701728,0.108
1995-11-20,0.27034559999999996,0.108
1995-11-21,0.270432,0.11
1995-11-22,0.2706912,0.11
1995-11-23,0.27095040000000004,0.11
1995-11-24,0.271296,0.115
1995-11-25,0.27164160000000004,0.12
1995-11-26,0.3543264,0.12
1995-11-27,0.3566592,0.122
1995-11-28,0.3606336,0.147
1995-11-29,0.3668544,0.159
1995-11-30,0.37471679999999996,0.149
1995-12-01,0.381888,0.152
1995-12-02,0.3859488,0.152
1995-12-03,1.4535936,0.159
1995-12-04,1.4792543999999999,0.712
1995-12-05,1.5024959999999998,3.151
1995-12-06,1.5244415999999998,4.012
1995-12-07,1.544832,4.007
1995-12-08,1.5624576,3.719
1995-12-09,1.5768864,3.163
1995-12-10,1.1146463999999998,2.919
1995-12-11,1.1302848,2.674
1995-12-12,1.144368,2.388
1995-12-13,1.1619072,2.376
1995-12-14,1.1805695999999999,2.023
1995-12-15,1.1937024,1.524
1995-12-16,1.2019968,1.424
1995-12-17,1.2492575999999997,1.419
1995-12-18,1.2528,1.006
1995-12-19,1.2552192,0.685
1995-12-20,1.2566016,0.624
1995-12-21,1.2568608,0.563
1995-12-22,1.2560832,0.506
1995-12-23,1.2544416,0.438
1995-12-24,0.3534624,0.435
1995-12-25,0.35398080000000004,0.435
1995-12-26,0.35449919999999996,0.379
1995-12-27,0.35501759999999993,0.325
1995-12-28,0.35553599999999996,0.325
1995-12-29,0.355968,0.321
1995-12-30,0.3564864,0.323
1995-12-31,0.32667840000000004,0.323
1996-01-01,0.3271104,0.323
1996-01-02,0.32754239999999996,0.321
1996-01-03,0.32814719999999997,0.328
1996-01-04,0.32883840000000003,0.509
1996-01-05,0.3292704,1.057
1996-01-06,0.32970239999999995,1.426
1996-01-07,1.0508832,1.451
1996-01-08,1.0097568,1.806
1996-01-09,0.9828,2.327
1996-01-10,0.9448704,2.327
1996-01-11,0.9069408,2.319
1996-01-12,0.8735904,2.121
1996-01-13,0.8443008,1.967
1996-01-14,0.6187103999999999,1.967
1996-01-15,0.731808,1.982
1996-01-16,0.9383904,1.989
1996-01-17,0.9571391999999999,1.989
1996-01-18,0.8976095999999999,1.982
1996-01-19,0.8488799999999999,1.982
1996-01-20,0.8124192,1.989
1996-01-21,0.438048,1.982
1996-01-22,0.43908479999999994,1.475
1996-01-23,0.4401216,1.037
1996-01-24,0.44115839999999995,1.037
1996-01-25,0.4420223999999999,0.871
1996-01-26,0.4428864,0.675
1996-01-27,0.4437504,0.675
1996-01-28,0.2696544,0.675
1996-01-29,0.2696544,0.675
1996-01-30,0.2697408,0.609
1996-01-31,0.2697408,0.526
1996-02-01,0.26999999999999996,0.44
1996-02-02,0.27008639999999995,0.321
1996-02-03,0.27008639999999995,0.323
1996-02-04,0.2947104,0.325
1996-02-05,0.29479679999999997,0.33
1996-02-06,0.2948832,0.338
1996-02-07,0.295056,0.35
1996-02-08,0.2954016,0.374
1996-02-09,0.29591999999999996,0.377
1996-02-10,0.2961792,0.374
1996-02-11,0.4876416,0.382
1996-02-12,0.495072,0.384
1996-02-13,0.5018112,0.389
1996-02-14,0.5081184,0.724
1996-02-15,0.5139935999999999,1.113
1996-02-16,0.5196959999999999,1.121
1996-02-17,0.5267808,1.128
1996-02-18,0.7442496000000001,1.143
1996-02-19,0.8176896,1.15
1996-02-20,0.8657279999999999,1.162
1996-02-21,0.8908704,1.443
1996-02-22,0.9065952,2.026
1996-02-23,0.9192096,3.041
1996-02-24,0.9300959999999999,3.675
1996-02-25,0.7407072,3.655
1996-02-26,0.7452863999999999,3.154
1996-02-27,0.7493471999999999,2.64
1996-02-29,0.7530623999999999,1.072
1996-03-01,0.7563456,1.064
1996-03-02,0.7591103999999999,1.059
1996-03-03,0.7617024,1.052
1996-03-04,0.38033279999999997,0.932
1996-03-05,0.3815424,0.687
1996-03-06,0.3826656,0.585
1996-03-07,0.38361600000000007,0.582
1996-03-08,0.3845664,0.58
1996-03-09,0.3855168,0.575
