date,r_sim_MCM,r_obs_MCM
1995-10-01,0.48150719999999997,0.127
1995-10-02,0.4831488,0.127
1995-10-03,0.48807359999999994,0.127
1995-10-04,0.4928256,0.127
1995-10-05,0.4940352,0.125
1995-10-06,0.493344,0.125
1995-10-07,0.49222079999999996,0.125
1995-10-08,0.36555839999999995,0.125
1995-10-09,0.365904,0.125
1995-10-10,0.368496,0.125
1995-10-11,0.37393919999999997,0.122
1995-10-12,0.3770496,0.122
1995-10-13,0.378,0.122
1995-10-14,0.3782592,0.122
1995-10-15,0.1852416,0.122
1995-10-16,0.18541439999999998,0.122
1995-10-17,0.18575999999999998,0.122
1995-10-18,0.18619199999999997,0.12
1995-10-19,0.18645119999999998,0.12
1995-10-20,0.18662399999999998,0.12
1995-10-21,0.18688319999999997,0.12
1995-10-22,0.30965760000000003,0.12
1995-10-23,0.3102624,0.12
1995-10-24,0.3106944,0.117
1995-10-25,0.31121279999999996,0.117
1995-10-26,0.31224959999999996,0.117
1995-10-27,0.3132,0.117
1995-10-28,0.3138912,0.117
1995-10-29,0.3118176,0.117
1995-10-30,0.3121632,0.117
1995-10-31,0.3125088,0.115
1995-11-01,0.3125088,0.115
1995-11-02,0.312768,0.115
1995-11-03,0.31311360000000005,0.115
1995-11-04,0.31337279999999995,0.115
1995-11-05,0.24537599999999998,0.115
1995-11-06,0.24546240000000003,0.113
1995-11-07,0.2456352,0.113
1995-11-08,0.24580800000000003,0.113
1995-11-09,0.24606719999999996,0.113
1995-11-10,0.24624,0.113
1995-11-11,0.2464128,0.113
1995-11-12,0.4728672,0.113
1995-11-13,0.48591359999999995,0.11
1995-11-14,0.5018976,0.11
1995-11-15,0.5161536,0.11
1995-11-16,0.5280768,0.11
1995-11-17,0.5371487999999999,0.11
1995-11-18,0.5472575999999999,0.11
1995-11-19,0.27034559999999996,0.108
1995-11-20,0.270432,0.108
1995-11-21,0.27051839999999994,0.11
1995-11-22,0.2706912,0.11
1995-11-23,0.27095040000000004,0.11
1995-11-24,0.27120959999999994,0.115
1995-11-25,0.27155519999999994,0.12
1995-11-26,0.35337599999999997,0.12
1995-11-27,0.35588159999999996,0.122
1995-11-28,0.36020159999999996,0.147
1995-11-29,0.3670272,0.159
1995-11-30,0.37540799999999996,0.149
1995-12-01,0.3826656,0.152
1995-12-02,0.38724480000000006,0.152
1995-12-03,0.255312,0.159
1995-12-04,0.2555712,0.712
1995-12-05,0.359856,3.151
1995-12-06,0.506736,4.012
1995-12-07,0.6384095999999999,4.007
1995-12-08,0.7557408,3.719
1995-12-09,0.8453376,3.163
1995-12-10,1.2940992,2.919
1995-12-11,1.3202784,2.674
1995-12-12,1.3433472,2.388
1995-12-13,1.372464,2.376
1995-12-14,1.4026176000000001,2.023
1995-12-15,1.420416,1.524
1995-12-16,1.4217119999999996,1.424
1995-12-17,1.3990752000000002,1.419
1995-12-18,1.3997664,1.006
1995-12-19,1.3994207999999997,0.685
1995-12-20,1.3979519999999999,0.624
1995-12-21,1.3954463999999998,0.563
1995-12-22,1.3919904,0.506
1995-12-23,1.3876703999999997,0.438
1995-12-24,0.3577824,0.435
1995-12-25,0.35830080000000003,0.435
1995-12-26,0.35881919999999995,0.379
1995-12-27,0.3593376,0.325
1995-12-28,0.359856,0.325
1995-12-29,0.360288,0.321
1995-12-30,0.36072,0.323
1995-12-31,0.3307392,0.323
1996-01-01,0.3311712,0.323
1996-01-02,0.3316032,0.321
1996-01-03,0.332208,0.328
1996-01-04,0.3328992,0.509
1996-01-05,0.3334176,1.057
1996-01-06,0.3337632,1.426
1996-01-07,2.3582016,1.451
1996-01-08,2.0215872,1.806
1996-01-09,1.7560799999999999,2.327
1996-01-10,1.5417216,2.327
1996-01-11,1.3706496000000001,2.319
1996-01-12,1.2339648,2.121
1996-01-13,1.2218688,1.967
1996-01-14,0.310608,1.967
1996-01-15,0.3106944,1.982
1996-01-16,0.3108672,1.989
1996-01-17,0.3109536,1.989
1996-01-18,0.31104,1.982
1996-01-19,0.31104,1.982
1996-01-20,0.31121279999999996,1.989
1996-01-21,0.2727648,1.982
1996-01-22,0.2727648,1.475
1996-01-23,0.2728512,1.037
1996-01-24,0.2728512,1.037
1996-01-25,0.27293759999999995,0.871
1996-01-26,0.27293759999999995,0.675
1996-01-27,0.27293759999999995,0.675
1996-01-28,0.25271999999999994,0.675
1996-01-29,0.2528064,0.675
1996-01-30,0.25289280000000003,0.609
1996-01-31,0.25289280000000003,0.526
1996-02-01,0.25306559999999995,0.44
1996-02-02,0.253152,0.321
1996-02-03,0.253152,0.323
1996-02-04,0.295488,0.325
1996-02-05,0.29557439999999996,0.33
1996-02-06,0.2956608,0.338
1996-02-07,0.2958336,0.35
1996-02-08,0.29626559999999996,0.374
1996-02-09,0.296784,0.377
1996-02-10,0.29695679999999997,0.374
1996-02-11,0.5497632,0.382
1996-02-12,0.5552927999999999,0.384
1996-02-13,0.5605632,0.389
1996-02-14,0.5658335999999999,0.724
1996-02-15,0.5709312,1.113
1996-02-16,0.5760287999999999,1.121
1996-02-17,0.5897664,1.128
1996-02-18,0.5064768,1.143
1996-02-19,0.5668704,1.15
1996-02-20,0.6096384,1.162
1996-02-21,0.636336,1.443
1996-02-22,0.65629439999999994,2.026
1996-02-23,0.6740064,3.041
1996-02-24,0.7013088000000001,3.675
1996-02-25,0.258336,3.655
1996-02-26,0.2584224,3.154
1996-02-27,0.8077536,2.64
1996-02-29,1.0235808,1.072
1996-03-01,0.983664,1.064
1996-03-02,0.9419327999999999,1.059
1996-03-03,0.9332927999999999,1.052
1996-03-04,0.9173952000000001,0.932
1996-03-05,0.8780832000000001,0.687
1996-03-06,0.8465471999999999,0.585
1996-03-07,0.8233056,0.582
1996-03-08,0.832896,0.58
1996-03-09,1.0862207999999998,0.575
1996-03-10,1.49688,0.572
1996-03-11,1.4822783999999998,0.57
1996-03-12,1.2538368,0.568
1996-03-13,1.0639296,0.565
1996-03-14,1.0254816,0.563
1996-03-15,1.0910592,0.56
1996-03-16,1.0234944,0.563
1996-03-17,0.975888,0.56
1996-03-18,0.9435743999999998,0.558
1996-03-19,0.9926496,0.555
1996-03-20,0.9446975999999999,0.768
1996-03-21,0.9135072000000001,0.979
1996-03-22,0.9545471999999999,0.974
1996-03-23,0.9031391999999999,0.969
1996-03-24,0.8400672,0.966
1996-03-25,0.8159616000000001,0.964
1996-03-26,0.835488,0.962
1996-03-27,0.8175167999999999,0.952
1996-03-28,0.7813151999999999,0.749
1996-03-29,0.7661088,0.538
1996-03-30,0.7540992,0.541
1996-03-31,0.8208863999999999,0.543
1996-04-01,1.1892095999999999,0.465
1996-04-02,0.9960192,0.289
1996-04-03,0.8129376,0.203
1996-04-04,0.8425728,0.206
1996-04-05,1.3023072,0.206
1996-04-06,1.9779551999999998,0.208
1996-04-07,2.0518272,0.213
1996-04-08,2.2845023999999996,0.208
1996-04-09,2.6379647999999998,0.213
1996-04-10,2.7546048,0.218
1996-04-11,2.3390207999999997,0.223
1996-04-12,2.0379168,0.639
1996-04-13,1.8614880000000003,1.13
1996-04-14,2.0815487999999998,1.133
1996-04-15,3.221856,1.26
1996-04-16,3.2743008,1.409
1996-04-17,2.6542079999999997,1.517
1996-04-18,2.357424,1.62
1996-04-19,2.0984832,1.62
1996-04-20,2.0319552,1.62
1996-04-21,2.1071232,1.62
1996-04-22,3.0163968,1.309
1996-04-23,4.372185599999999,1.023
1996-04-24,4.1050368,1.028
1996-04-25,3.668112,1.85
1996-04-26,3.0214079999999996,2.801
1996-04-27,2.5947647999999996,2.794
1996-04-28,2.4853823999999998,2.787
1996-04-29,2.7140832,1.568
1996-04-30,2.9673216,0.514
1996-05-01,2.6737344,0.631
1996-05-02,2.5105248,0.56
1996-05-03,2.3761727999999995,0.504
1996-05-04,2.3052384,0.494
1996-05-05,2.3048927999999997,0.484
1996-05-06,2.2888224,0.421
1996-05-07,2.1802176,0.245
1996-05-08,2.0638368,0.169
1996-05-09,2.0266848,0.169
1996-05-10,2.1361536,0.169
1996-05-11,2.353968,0.169
1996-05-12,3.2432831999999996,0.169
1996-05-13,3.8865311999999994,0.169
1996-05-14,3.557952,0.492
1996-05-15,3.2425056,1.351
1996-05-16,3.0971808000000003,1.691
1996-05-17,3.2531328,1.507
1996-05-18,3.6332064,1.522
1996-05-19,3.487104,1.612
1996-05-20,3.0910464,1.583
1996-05-21,3.5580383999999996,1.424
1996-05-22,4.2985728,1.436
1996-05-23,3.8295072,1.556
1996-05-24,3.3994079999999998,1.527
1996-05-25,3.6259487999999997,1.527
1996-05-26,3.6839231999999997,1.654
1996-05-27,3.4769087999999995,1.654
1996-05-28,3.8891231999999993,1.468
1996-05-29,3.6966239999999995,1.409
1996-05-30,3.0604607999999995,1.348
1996-05-31,3.1187808,1.152
1996-06-01,3.5735903999999996,1.02
1996-06-02,3.7552032,1.074
1996-06-03,3.9378527999999995,1.351
1996-06-04,3.6578304,1.47
1996-06-05,3.4060607999999997,1.351
1996-06-06,3.6770975999999993,1.238
1996-06-07,3.6850464,1.238
1996-06-08,3.2517504,1.238
1996-06-09,2.932416,1.128
1996-06-10,2.8284768000000002,0.971
1996-06-11,2.8489535999999993,0.873
1996-06-12,2.8581119999999998,0.824
1996-06-13,2.8528415999999996,0.776
1996-06-14,2.8011744,0.776
1996-06-15,2.666304,0.734
1996-06-16,2.425248,0.692
1996-06-17,2.2749984,0.651
1996-06-18,2.1581856,0.609
1996-06-19,2.137968,0.55
1996-06-20,2.259792,0.499
1996-06-21,2.1939552,0.482
1996-06-22,2.1599136,0.482
1996-06-23,2.4636096,0.516
1996-06-24,2.3179391999999996,0.568
1996-06-25,2.2638528,0.568
1996-06-26,2.2104576,0.568
1996-06-27,2.0947679999999997,0.533
1996-06-28,1.8988992,0.516
1996-06-29,1.8750528,0.499
1996-06-30,1.8713375999999997,0.465
1996-07-01,2.1682943999999997,0.465
1996-07-02,2.1675167999999996,0.482
1996-07-03,2.1669983999999998,0.482
1996-07-04,2.1670848,0.465
1996-07-05,2.1667391999999994,0.431
1996-07-06,2.1654431999999995,0.369
1996-07-07,2.1639744,0.323
1996-07-08,2.5088832,0.338
1996-07-09,2.5044767999999995,0.352
1996-07-10,2.498688,0.303
1996-07-11,2.4922079999999998,0.291
1996-07-12,2.4856415999999997,0.291
1996-07-13,2.4792479999999997,0.291
1996-07-14,2.4730272,0.291
1996-07-15,2.6704512,0.291
1996-07-16,2.6638848,0.267
1996-07-17,2.6568864,0.237
1996-07-18,2.6497151999999997,0.237
1996-07-19,2.6433216,0.267
1996-07-20,2.6370144,0.267
1996-07-21,2.6298431999999994,0.267
1996-07-22,2.7813024000000004,0.237
1996-07-23,2.7713664,0.225
1996-07-24,2.7616896,0.21
1996-07-25,2.7521856,0.198
1996-07-26,2.7425952,0.208
1996-07-27,2.7323999999999997,0.237
1996-07-28,2.7214272,0.183
1996-07-29,2.7990144,0.281
1996-07-30,2.7848447999999997,0.411
1996-07-31,2.7706751999999994,0.443
1996-08-01,2.7565056,0.516
1996-08-02,2.742336,0.68
1996-08-03,2.7288576,0.685
1996-08-04,2.7157248,0.695
1996-08-05,2.819664,0.707
1996-08-06,2.7951263999999996,0.717
1996-08-07,2.7705024000000003,0.727
1996-08-08,2.7458783999999996,0.8
1996-08-09,2.7213407999999997,0.871
1996-08-10,2.696976,0.974
1996-08-11,2.6726112,1.152
1996-08-12,2.9416607999999997,1.213
1996-08-13,2.9019168,1.16
1996-08-14,2.8626047999999997,1.289
1996-08-15,2.8237248000000004,3.044
1996-08-16,2.7852768,3.398
1996-08-17,2.7472608000000003,3.207
1996-08-18,2.7096767999999996,3.068
1996-08-19,2.5071552,3.004
1996-08-20,2.4771744,2.977
1996-08-21,2.4475391999999996,2.948
1996-08-22,2.418336,2.919
1996-08-23,2.3893056,2.505
1996-08-24,2.3607072000000002,2.513
1996-08-25,2.3322816,2.576
1996-08-26,0.9522144,2.505
1996-08-27,0.936576,2.451
1996-08-28,0.9211103999999999,2.368
1996-08-29,0.9059039999999999,2.214
1996-08-30,0.8910432,2.131
1996-08-31,0.8763552,2.119
1996-09-01,0.8616672000000001,2.114
1996-09-02,0.3795551999999999,2.131
1996-09-03,0.37402559999999996,2.097
1996-09-04,0.36875519999999995,2.006
1996-09-05,0.3650399999999999,1.943
1996-09-06,0.3640896,1.908
1996-09-07,0.3627072,1.903
1996-09-08,0.3593376,1.899
1996-09-09,0.4578336,2.314
1996-09-10,0.4445279999999999,2.723
1996-09-11,0.43122239999999995,2.664
1996-09-12,0.418176,2.615
1996-09-13,0.40573439999999994,2.584
1996-09-14,0.3951072,2.535
1996-09-15,0.39286079999999995,2.52
1996-09-16,0.5204736,2.403
1996-09-17,0.5185728,2.346
1996-09-18,0.5125248,2.398
1996-09-19,0.5041439999999999,2.417
1996-09-20,0.5006016,2.395
1996-09-21,0.49524480000000004,2.371
1996-09-22,0.4984416,2.356
1996-09-23,0.7304256,2.752
1996-09-24,0.6822144,2.659
1996-09-25,0.6222528,2.559
1996-09-26,0.5645376,2.64
1996-09-27,0.5137343999999999,2.684
1996-09-28,0.47018879999999996,2.652
1996-09-29,0.4329504,2.62
1996-09-30,0.4010688,2.647
1996-10-01,0.518832,2.674
1996-10-02,0.5173632,2.75
1996-10-03,0.5158944,2.794
1996-10-04,0.5147712,2.743
1996-10-05,0.5158079999999999,2.674
1996-10-06,0.5172768,2.63
1996-10-07,0.5170176,2.571
1996-10-08,0.3763583999999999,2.493
1996-10-09,0.3760991999999999,2.547
1996-10-10,0.37583999999999995,2.554
1996-10-11,0.37558080000000005,2.493
1996-10-12,0.37558080000000005,2.434
1996-10-13,0.37627200000000005,2.278
1996-10-14,0.3773952,1.006
1996-10-15,0.185328,0.355
1996-10-16,0.1856736,0.198
1996-10-17,0.1858464,0.196
1996-10-18,0.1861056,0.196
1996-10-19,0.18645119999999998,0.196
1996-10-20,0.18662399999999998,0.196
1996-10-21,0.1867104,0.137
1996-10-22,0.30827519999999997,0.083
1996-10-23,0.3061152,0.086
1996-10-24,0.3093984,0.088
1996-10-25,0.31008959999999997,0.091
1996-10-26,0.3102624,0.091
1996-10-27,0.31224959999999996,0.091
1996-10-28,0.3112992,0.093
1996-10-29,0.3124224,0.095
1996-10-30,0.31337279999999995,0.098
1996-10-31,0.312768,0.098
1996-11-01,0.3177792,0.098
1996-11-02,0.3181248,0.1
1996-11-03,0.318384,0.1
1996-11-04,0.3189024,0.1
1996-11-05,0.24589439999999999,0.1
1996-11-06,0.24598079999999997,0.103
1996-11-07,0.24598079999999997,0.105
1996-11-08,0.24606719999999996,0.105
1996-11-09,0.24606719999999996,0.11
1996-11-10,0.2461536,0.11
1996-11-11,0.2461536,0.11
1996-11-12,0.4431456,0.11
1996-11-13,0.45506880000000005,0.113
1996-11-14,0.4683744,0.115
1996-11-15,0.47545919999999997,0.115
1996-11-16,0.4784832,0.117
1996-11-17,0.48064319999999994,0.117
1996-11-18,0.4821984,0.117
1996-11-19,0.2696544,0.117
1996-11-20,0.2697408,0.117
1996-11-21,0.2697408,0.117
1996-11-22,0.2697408,0.117
1996-11-23,0.2698272,0.117
1996-11-24,0.2698272,0.117
1996-11-25,0.26991360000000003,0.117
1996-11-26,0.3355776,0.117
1996-11-27,0.3357504,0.117
1996-11-28,0.336096,0.117
1996-11-29,0.33635519999999997,0.117
1996-11-30,0.3366143999999999,0.125
1996-12-01,0.3367872,0.127
1996-12-02,0.33704639999999997,0.117
1996-12-03,0.2493504,0.11
1996-12-04,0.2494368,0.11
1996-12-05,0.2494368,0.113
1996-12-06,0.2494368,0.11
1996-12-07,0.24952319999999997,0.113
1996-12-08,0.24952319999999997,0.113
1996-12-09,0.24952319999999997,0.098
1996-12-10,0.2854656,0.083
1996-12-11,0.285552,0.083
1996-12-12,0.2857248,0.083
1996-12-13,0.2858112,0.083
1996-12-14,0.28589760000000003,0.083
1996-12-15,0.28598399999999996,0.083
1996-12-16,0.2860704,0.083
1996-12-17,0.2312064,0.083
1996-12-18,0.2312064,0.083
